Year,State,Total - Male,Total - Female,Total - Total,Pre-Primary Only - Male,Pre-Primary Only - Female,Pre-Primary Only - Total,Pre-Primary & Primary - Male,Pre-Primary & Primary - Female,Pre-Primary & Primary - Total,Primary Only - Male,Primary Only - Female,Primary Only - Total,Primary & Upper Primary - Male,Primary & Upper Primary - Female,Primary & Upper Primary - Total,Upper Primary Only - Male,Upper Primary Only - Female,Upper Primary Only - Total,Upper Primary & Secondary - Male,Upper Primary & Secondary - Female,Upper Primary & Secondary - Total,Secondary Only - Male,Secondary Only - Female,Secondary Only - Total,Secondary & Higher Secondary - Male,Secondary & Higher Secondary - Female,Secondary & Higher Secondary - Total,Higher Secondary Only - Male,Higher Secondary Only - Female,Higher Secondary Only - Total
2020-21,West Bengal,281115,188689,469804,12946,13456,26402,126442,89823,216265,3498,2939,6437,474,380,854,36750,24382,61132,43161,24277,67438,17424,10016,27440,32843,18124,50967,7577,5292,12869
2021-22,India,2729750,2152696,4882446,11270,20025,31295,139111,104370,243481,1132307,959440,2091747,180930,136335,317265,560244,407041,967285,221049,167250,388299,228747,177030,405777,122662,76226,198888,133430,104979,238409
2021-22,Andaman and Nicobar Islands,1595,2583,4178,38,131,169,8,30,38,473,898,1371,65,88,153,198,324,522,303,480,783,149,236,385,101,131,232,260,265,525
2021-22,Andhra Pradesh,104483,86983,191466,1,0,1,25,18,43,42671,38067,80738,5942,4845,10787,4997,3899,8896,37648,29494,67142,7319,6104,13423,922,1175,2097,4958,3381,8339
2021-22,Arunachal Pradesh,9197,7247,16444,5,14,19,65,72,137,3714,2838,6552,1469,955,2424,1640,1669,3309,490,323,813,983,834,1817,333,194,527,498,348,846
2021-22,Assam,137387,82880,220267,21,32,53,2677,2103,4780,65275,42490,107765,3650,2300,5950,25878,11337,37215,17021,11457,28478,14133,7284,21417,3512,2348,5860,5220,3529,8749
2021-22,Bihar,238575,159212,397787,0,1,1,2,3,5,82654,69159,151813,26719,15334,42053,90603,61413,152016,992,261,1253,24606,8239,32845,6022,2044,8066,6977,2758,9735
2021-22,Chandigarh,1421,3499,4920,2,103,105,2,11,13,473,965,1438,73,87,160,158,289,447,432,1262,1694,81,194,275,62,144,206,138,444,582
2021-22,Chhattisgarh,110046,68585,178631,0,8,8,3,20,23,51096,30575,81671,313,332,645,31833,16922,48755,382,296,678,7933,5782,13715,13545,10990,24535,4941,3660,8601
2021-22,Daman and Diu and Dadra and Nagar Haveli,1259,1610,2869,0,10,10,1,2,3,523,716,1239,10,22,32,295,426,721,7,9,16,244,255,499,60,38,98,119,132,251
2021-22,Delhi,31538,53037,84575,45,1933,1978,0,0,0,8089,16445,24534,0,0,0,8037,13514,21551,0,0,0,6949,10334,17283,0,0,0,8418,10811,19229
2021-22,Goa,671,2398,3069,0,6,6,0,0,0,188,1413,1601,4,8,12,125,266,391,151,288,439,120,227,347,12,19,31,71,171,242
2021-22,Gujarat,101355,90745,192100,0,4,4,15,27,42,55784,53938,109722,845,446,1291,39345,33022,72367,272,205,477,3208,1998,5206,296,148,444,1590,957,2547
2021-22,Haryana,53403,40480,93883,0,15,15,3,4,7,21790,14524,36314,25,36,61,11349,7877,19226,5028,3483,8511,2378,1961,4339,10848,10847,21695,1982,1733,3715
2021-22,Himachal Pradesh,40390,26864,67254,15,30,45,264,196,460,11722,8738,20460,29,32,61,6274,3022,9296,7876,6082,13958,3520,2635,6155,2825,1481,4306,7865,4648,12513
2021-22,Jammu and Kashmir,61563,36785,98348,7,8,15,1654,1250,2904,24208,15427,39635,390,133,523,20342,12066,32408,94,35,129,9654,5434,15088,73,31,104,5141,2401,7542
2021-22,Jharkhand,84142,34714,118856,12,6,18,269,138,407,44248,18401,62649,13803,4128,17931,14245,5145,19390,1392,1053,2445,6702,3887,10589,1485,726,2211,1986,1230,3216
