Year,State,Pre-Primary - Boys,Pre-Primary - Girls,Pre-Primary - Total,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total,Primary to Higher Secondary (1-12) - Boys,Primary to Higher Secondary (1-12) - Girls,Primary to Higher Secondary (1-12) - Total,Total (Pre-Primary to Higher Secondary) - Boys,Total (Pre-Primary to Higher Secondary) - Girls,Total (Pre-Primary to Higher Secondary) - Total
2021-22,Nagaland,16,15,31,23,32,55,0,0,0,23,32,55,0,0,0,0,0,0,23,32,55,39,47,86
2021-22,Odisha,3782,2957,6739,39195,29417,68612,9716,7326,17042,48911,36743,85654,4051,3352,7403,1066,881,1947,54028,40976,95004,57810,43933,101743
2021-22,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Punjab,99,36,135,442,240,682,129,86,215,571,326,897,0,0,0,0,0,0,571,326,897,670,362,1032
2021-22,Rajasthan,1077,954,2031,73900,68950,142850,10986,10479,21465,84886,79429,164315,1396,1512,2908,507,531,1038,86789,81472,168261,87866,82426,170292
2021-22,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Tamil Nadu,4448,4020,8468,15892,13499,29391,3180,2921,6101,19072,16420,35492,991,812,1803,581,455,1036,20644,17687,38331,25092,21707,46799
2021-22,Telangana,81,76,157,2126,1992,4118,907,1403,2310,3033,3395,6428,16,2,18,0,0,0,3049,3397,6446,3130,3473,6603
2021-22,Tripura,1513,1308,2821,6185,4783,10968,716,188,904,6901,4971,11872,254,56,310,113,23,136,7268,5050,12318,8781,6358,15139
2021-22,Uttar Pradesh,3698,3495,7193,804665,765827,1570492,203966,218199,422165,1008631,984026,1992657,58100,55872,113972,14661,14015,28676,1081392,1053913,2135305,1085090,1057408,2142498
2021-22,Uttarakhand,443,440,883,26926,23938,50864,8628,8226,16854,35554,32164,67718,1499,1907,3406,886,696,1582,37939,34767,72706,38382,35207,73589
2021-22,West Bengal,27025,23069,50094,65550,56069,121619,13396,10450,23846,78946,66519,145465,1782,1613,3395,421,676,1097,81149,68808,149957,108174,91877,200051
