Year,State,Scheme,Spillover,Non-Recurring - Fresh,Recurring - Fresh,Total Fresh,Grand Total - Including Spillover and Reimbursement
2023-24,Sikkim,Total,4108.97,3835.57,12352.85,16187.9,20296.87,
2023-24,Tamil Nadu,Elementary,17065.831,10336.31,233457.25,243793.56,260859.391,
2023-24,Tamil Nadu,Secondary,6358.04,15638.85,63074.91,78713.76,85071.8,
2023-24,Tamil Nadu,Teacher Education,168.78,565.74,6860.06,7425.8,7594.58,
2023-24,Tamil Nadu,Total,23592.651,26540.9,303392.22,329933.12,353525.771,
2023-24,Telangana,Teacher Education,859.18,394.74,810.54,1205.28,2064.46,
2023-24,Telangana,Total,65409.57,23630.28,167763.31,191393.59,256803.16,
2023-24,Telangana,Secondary,21955.22,11552.7,35150.07,46702.77,68657.99,
2023-24,Telangana,Elementary,42595.17,11682.84,131802.7,143485.54,186080.71,
2023-24,Tripura,Secondary,4525.87,5859.53,9429.13,15288.66,19814.53,
2023-24,Tripura,Teacher Education,56.1,660.0,910.59,1570.59,1626.69,
2023-24,Tripura,Elementary,3745.98,2441.3,23640.22,26081.52,29827.5,
2023-24,Tripura,Total,8327.95,8960.83,33979.94,42940.77,51268.72,
2023-24,Uttar Pradesh,Teacher Education,4500.14,6362.4,11413.75,17776.15,22276.29,
2023-24,Uttar Pradesh,Total,189154.95,242269.32,843017.19,1085286.51,1274441.46,
2023-24,Uttar Pradesh,Secondary,39857.81,26861.64,32908.25,59769.89,99627.7,
2023-24,Uttar Pradesh,Elementary,144797.0,209045.28,798695.19,1007740.47,1152537.47,
2023-24,Uttarakhand,Elementary,13899.44,6885.83,46296.35,53182.18,67081.62,
2023-24,Uttarakhand,Secondary,17832.52,7201.89,11712.5,18914.39,36746.91,
2023-24,Uttarakhand,Teacher Education,2858.53,1089.3,2800.14,3889.44,6747.97,
2023-24,Uttarakhand,Total,34590.49,15177.02,60808.99,75986.01,110576.5,
2023-24,West Bengal,Elementary,55985.58,967.56,211072.87,212040.43,268026.01,
2023-24,West Bengal,Total,89809.52,13760.73,249226.62,262987.35,352796.87,
2023-24,West Bengal,Teacher Education,1078.03,22.8,1385.88,1408.68,2486.71,
2023-24,West Bengal,Secondary,32745.9,12770.37,36767.87,49538.24,82284.14,
2022-23,Andaman and Nicobar Islands,Total,,888.6,5420.14,6308.74,6308.74
2022-23,Andaman and Nicobar Islands,Teacher Education,,0.0,61.6,61.6,61.6
2022-23,Andaman and Nicobar Islands,Secondary Education,,239.13,1481.94,1721.07,1721.07
2022-23,Andaman and Nicobar Islands,Elementary Education,,649.47,3876.6,4526.07,4526.07
2022-23,Andhra Pradesh,Elementary Education,,40037.06,168402.75,208439.81,208439.81
2022-23,Andhra Pradesh,Secondary Education,,6342.6,46765.48,53108.08,53108.08
2022-23,Andhra Pradesh,Teacher Education,,0.0,1104.66,1104.66,1104.66
2022-23,Andhra Pradesh,Total,,46379.66,216272.9,262652.56,262652.56
2022-23,Arunachal Pradesh,Secondary Education,,405.47,4801.13,5206.6,5206.6
2022-23,Arunachal Pradesh,Total,,5018.28,38924.96,43943.24,43943.24
2022-23,Arunachal Pradesh,Teacher Education,,0.0,1496.56,1496.56,1496.56
2022-23,Arunachal Pradesh,Elementary Education,,4612.81,32627.27,37240.08,37240.08
2022-23,Assam,Teacher Education,,100.68,4840.54,4941.22,4941.22
2022-23,Assam,Secondary Education,,14377.04,28008.83,42385.87,42385.87
2022-23,Assam,Total,,40536.62,218677.32,259213.94,259213.94
2022-23,Assam,Elementary Education,,26058.9,185827.95,211886.85,211886.85
2022-23,Bihar,Total,,86730.36,721344.12,808074.48,808074.48
2022-23,Bihar,Teacher Education,,70.4,492.5,562.9,562.9
2022-23,Bihar,Secondary Education,,31513.74,42774.25,74287.99,74287.99
